学校,专业,数据来源,年份,排名,评级/星级/档次
江西财经大学,计算机科学与技术,cnur.com,2026,102.0,B+
西南财经大学,计算机科学与技术,cnur.com,2026,150.0,B+
中南财经政法大学,计算机科学与技术,cnur.com,2026,161.0,B+
上海财经大学,计算机科学与技术,cnur.com,2026,169.0,B+
中央财经大学,计算机科学与技术,cnur.com,2026,171.0,B+
北京工商大学,计算机科学与技术,cnur.com,2026,186.0,B+
山东财经大学,计算机科学与技术,cnur.com,2026,202.0,B+
南京财经大学,计算机科学与技术,cnur.com,2026,249.0,B
天津财经大学,计算机科学与技术,cnur.com,2026,262.0,B
安徽财经大学,计算机科学与技术,cnur.com,2026,265.0,B
云南财经大学,计算机科学与技术,cnur.com,2026,277.0,B
贵州财经大学,计算机科学与技术,cnur.com,2026,289.0,B
河南财经政法大学,计算机科学与技术,cnur.com,2026,290.0,B
山西财经大学,计算机科学与技术,cnur.com,2026,292.0,B
广东财经大学,计算机科学与技术,cnur.com,2026,360.0,B
山西财经大学,计算机科学与技术,金平果,2026-2027,149.0,4★
山东财经大学,计算机科学与技术,金平果,2026-2027,162.0,4★
江西财经大学,计算机科学与技术,金平果,2026-2027,166.0,4★
中南财经政法大学,计算机科学与技术,金平果,2026-2027,207.0,3★
中央财经大学,计算机科学与技术,金平果,2026-2027,215.0,3★
天津财经大学,计算机科学与技术,金平果,2026-2027,291.0,3★
上海财经大学,计算机科学与技术,金平果,2026-2027,310.0,3★
云南财经大学,计算机科学与技术,金平果,2026-2027,315.0,3★
河南财经政法大学,计算机科学与技术,金平果,2026-2027,316.0,3★
贵州财经大学,计算机科学与技术,金平果,2026-2027,335.0,3★
西安财经大学,计算机科学与技术,金平果,2026-2027,399.0,3★
内蒙古财经大学,计算机科学与技术,金平果,2026-2027,404.0,3★
广东财经大学,计算机科学与技术,金平果,2026-2027,405.0,3★
中央财经大学,计算机科学与技术,教育部第四轮学科评估,2017,,B+
山东财经大学,计算机科学与技术,教育部第四轮学科评估,2017,,C
江西财经大学,计算机科学与技术,教育部第四轮学科评估,2017,,C-
西南财经大学,计算机科学与技术,教育部第四轮学科评估,2017,,C-
江西财经大学,计算机科学与技术,一流本科专业建设点,,,国家级
天津财经大学,计算机科学与技术,一流本科专业建设点,,,省级
南京财经大学,计算机科学与技术,一流本科专业建设点,,,省级
首都经济贸易大学,计算机科学与技术,一流本科专业建设点,,,省级
上海立信会计金融学院,计算机科学与技术,一流本科专业建设点,,,省级
河南财经政法大学,计算机科学与技术,一流本科专业建设点,,,省级
贵州财经大学,计算机科学与技术,一流本科专业建设点,,,省级
西安财经大学,计算机科学与技术,一流本科专业建设点,,,省级
内蒙古财经大学,计算机科学与技术,一流本科专业建设点,,,省级
云南财经大学,计算机科学与技术,一流本科专业建设点,,,省级
广西财经学院,计算机科学与技术,一流本科专业建设点,,,省级
广东金融学院,计算机科学与技术,一流本科专业建设点,,,省级
南京财经大学,软件工程,金平果,2026,110.0,
广东财经大学,软件工程,金平果,2026,290.0,3★
广东财经大学,软件工程,校友会,2024,183.0,3★ / B+
南京财经大学,软件工程,教育部第四轮学科评估,2017,,C-
西南财经大学,人工智能,cnur.com,2026,119.0,B+
上海财经大学,人工智能,cnur.com,2026,120.0,B+
对外经济贸易大学,人工智能,cnur.com,2026,122.0,B+
中南财经政法大学,人工智能,cnur.com,2026,126.0,B+
东北财经大学,人工智能,cnur.com,2026,140.0,B+
首都经济贸易大学,人工智能,cnur.com,2026,146.0,B
北京工商大学,人工智能,cnur.com,2026,148.0,B
山东财经大学,人工智能,cnur.com,2026,160.0,B
浙江财经大学,人工智能,cnur.com,2026,189.0,B
广东财经大学,人工智能,cnur.com,2026,201.0,B
安徽财经大学,人工智能,校友会,2026,25.0,B++ / 3★
长春财经学院,人工智能,校友会,2026,,A++ / 6★
