学校,专业,全国排名,评级,财经类排名,相对位置
江西财经大学,计算机科学与技术,102,B+,1,领先
西南财经大学,计算机科学与技术,150,B+,2,领先
中南财经政法大学,计算机科学与技术,161,B+,3,领先
上海财经大学,计算机科学与技术,169,B+,4,领先
中央财经大学,计算机科学与技术,171,B+,5,领先
北京工商大学,计算机科学与技术,186,B+,6,领先
山东财经大学,计算机科学与技术,202,B+,7,领先
南京财经大学,计算机科学与技术,249,B,8,领先
天津财经大学,计算机科学与技术,262,B,9,领先
安徽财经大学,计算机科学与技术,265,B,10,领先
云南财经大学,计算机科学与技术,277,B,11,领先
贵州财经大学,计算机科学与技术,289,B,12,领先
河南财经政法大学,计算机科学与技术,290,B,13,领先
山西财经大学,计算机科学与技术,292,B,14,领先
**广东财经大学**,**计算机科学与技术**,**360**,**B**,**15**,**← 广财位置**
湖北经济学院,计算机科学与技术,361,B,16,差于广财
宁波财经学院,计算机科学与技术,377,B,17,差于广财
重庆工商大学,计算机科学与技术,386,B,18,差于广财
长春财经学院,计算机科学与技术,388,B,19,差于广财
上海立信会计金融学院,计算机科学与技术,406,B,20,差于广财
南京财经大学,软件工程,144,B,1,领先
浙江财经大学,软件工程,191,B,2,领先
天津财经大学,软件工程,220,B,3,领先
**广东财经大学**,**软件工程**,**223**,**B**,**4**,**← 广财位置**
河北经贸大学,软件工程,231,B,5,差于广财
西安财经大学,软件工程,249,B,6,差于广财
天津商业大学,软件工程,280,B,7,差于广财
西南财经大学,人工智能,119,B+,1,领先
上海财经大学,人工智能,120,B+,2,领先
对外经济贸易大学,人工智能,122,B+,3,领先
中南财经政法大学,人工智能,126,B+,4,领先
东北财经大学,人工智能,140,B+,5,领先
首都经济贸易大学,人工智能,146,B,6,领先
北京工商大学,人工智能,148,B,7,领先
山东财经大学,人工智能,160,B,8,领先
浙江财经大学,人工智能,189,B,9,领先
**广东财经大学**,**人工智能**,**201**,**B**,**10**,**← 广财位置**
兰州财经大学,人工智能,274,B,11,差于广财
新疆财经大学,人工智能,279,B,12,差于广财
广东金融学院,人工智能,289,B,13,差于广财
